,Yes,No
Partner,0.7794617563739377,0.22053824362606234
Job,0.7669971671388102,0.2330028328611898
Home,0.7611898016997167,0.2388101983002833
Car,0.678399433427762,0.32160056657223796
Children,0.5280453257790368,0.47195467422096316
Money,0.4636685552407932,0.5363314447592068
Personal Achievement,0.21437677053824364,0.7856232294617563
Famous,0.11303116147308782,0.8869688385269122
None,0.02018413597733711,0.9798158640226629
Sex,,
